Handbook of optics Vol2 Edition3 2010 page 34.38
lambda [nm]	photopic	scotopic
380	0.00004	0.00059
385	0.00006	0.00111
390	0.00012	0.00221
395	0.00022	0.00453
400	0.0004	0.00929
405	0.00064	0.01852
410	0.00121	0.03484
415	0.00218	0.0604
420	0.004	0.0966
425	0.0073	0.1436
430	0.0116	0.1998
435	0.01684	0.2625
440	0.023	0.3281
445	0.0298	0.3931
450	0.038	0.455
455	0.048	0.513
460	0.06	0.567
465	0.0739	0.62
470	0.09098	0.676
475	0.1126	0.734
480	0.13902	0.793
485	0.1693	0.851
490	0.20802	0.904
495	0.2586	0.949
500	0.323	0.982
505	0.4073	0.998
510	0.503	0.997
515	0.6082	0.975
520	0.71	0.935
525	0.7932	0.88
530	0.862	0.811
535	0.91485	0.733
540	0.954	0.65
545	0.9803	0.564
550	0.99495	0.481
555	1	0.402
560	0.995	0.3288
565	0.9786	0.2639
570	0.952	0.2076
575	0.9154	0.1602
580	0.87	0.1212
585	0.8163	0.0899
590	0.757	0.0655
595	0.6949	0.0469
600	0.631	0.03315
605	0.5668	0.02312
610	0.503	0.01593
615	0.4412	0.01088
620	0.381	0.00737
625	0.321	0.00497
630	0.265	0.00334
635	0.217	0.00224
640	0.175	0.0015
645	0.1382	0.00101
650	0.107	0.00068
655	0.0816	0.00046
660	0.061	0.00031
665	0.04458	0.00021
670	0.032	0.00015
675	0.0232	0.0001
680	0.017	0.00007
685	0.01192	0.00005
690	0.00821	0.00004
695	0.00572	0.00003
700	0.0041	0.00002
705	0.00293	0.00001
710	0.00209	0.00001
715	0.00148	0.00001
720	0.00105	0
725	0.00074	0
730	0.00052	0
735	0.00036	0
740	0.00025	0
745	0.00017	0
750	0.00012	0
755	0.00008	0
760	0.00006	0
765	0.00004	0
770	0.00003	0
775	0.00002	0
780	0.00000	0
